"Indicator","Year","Geography","Sex","AgeGroup","Location","Value","Unit","Source","DataType"
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Ethiopia","Male","Not Available","Not Available","4.26","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Ethiopia","Female","Not Available","Not Available","2.56","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Ethiopia","Female","Not Available","Not Available","2.56","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Ethiopia","Female","Not Available","Not Available","2.56","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Ethiopia","Female","Not Available","Not Available","2.56","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Ethiopia","Female","Not Available","Not Available","2.56","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Ethiopia","Female","Not Available","Not Available","2.56","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Ethiopia","Female","Not Available","Not Available","2.56","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Ethiopia","Female","Not Available","Not Available","2.56","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Ethiopia","Male","Not Available","Not Available","3.68","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Ethiopia","Male","Not Available","Not Available","3.68","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Ethiopia","Male","Not Available","Not Available","3.68","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Ethiopia","Male","Not Available","Not Available","3.68","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Ethiopia","Male","Not Available","Not Available","3.68","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Ethiopia","Male","Not Available","Not Available","3.68","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Ethiopia","Male","Not Available","Not Available","3.68","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Ethiopia","Male","Not Available","Not Available","3.68","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Ethiopia","Female","Not Available","Not Available","2.25","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Ethiopia","Female","Not Available","Not Available","2.25","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Ethiopia","Female","Not Available","Not Available","2.25","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Ethiopia","Female","Not Available","Not Available","2.25","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Ethiopia","Female","Not Available","Not Available","2.25","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Ethiopia","Female","Not Available","Not Available","2.25","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Ethiopia","Female","Not Available","Not Available","2.25","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Ethiopia","Female","Not Available","Not Available","2.25","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Ethiopia","Both Sexes","Not Available","Not Available","2.97","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Ethiopia","Both Sexes","Not Available","Not Available","2.97","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Ethiopia","Both Sexes","Not Available","Not Available","2.97","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Ethiopia","Both Sexes","Not Available","Not Available","2.97","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Ethiopia","Both Sexes","Not Available","Not Available","2.97","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Ethiopia","Both Sexes","Not Available","Not Available","2.97","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Ethiopia","Both Sexes","Not Available","Not Available","2.97","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Ethiopia","Both Sexes","Not Available","Not Available","2.97","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Fiji","Male","Not Available","Not Available","0.89","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Fiji","Male","Not Available","Not Available","0.89","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Fiji","Male","Not Available","Not Available","0.89","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Fiji","Male","Not Available","Not Available","0.89","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Fiji","Male","Not Available","Not Available","0.89","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Fiji","Male","Not Available","Not Available","0.89","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Fiji","Male","Not Available","Not Available","0.89","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Fiji","Male","Not Available","Not Available","0.89","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Fiji","Female","Not Available","Not Available","0.32","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Fiji","Female","Not Available","Not Available","0.32","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Fiji","Female","Not Available","Not Available","0.32","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Fiji","Female","Not Available","Not Available","0.32","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Fiji","Female","Not Available","Not Available","0.32","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Fiji","Female","Not Available","Not Available","0.32","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Fiji","Female","Not Available","Not Available","0.32","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Fiji","Female","Not Available","Not Available","0.32","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Fiji","Both Sexes","Not Available","Not Available","0.61","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Fiji","Both Sexes","Not Available","Not Available","0.61","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Fiji","Both Sexes","Not Available","Not Available","0.61","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Fiji","Both Sexes","Not Available","Not Available","0.61","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Fiji","Both Sexes","Not Available","Not Available","0.61","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Fiji","Both Sexes","Not Available","Not Available","0.61","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Fiji","Both Sexes","Not Available","Not Available","0.61","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Fiji","Both Sexes","Not Available","Not Available","0.61","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Fiji","Male","Not Available","Not Available","0.89","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Fiji","Male","Not Available","Not Available","0.89","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Fiji","Male","Not Available","Not Available","0.89","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Fiji","Male","Not Available","Not Available","0.89","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Fiji","Male","Not Available","Not Available","0.89","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Fiji","Male","Not Available","Not Available","0.89","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Fiji","Male","Not Available","Not Available","0.89","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Fiji","Male","Not Available","Not Available","0.89","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Fiji","Both Sexes","Not Available","Not Available","0.57","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Fiji","Both Sexes","Not Available","Not Available","0.57","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Fiji","Both Sexes","Not Available","Not Available","0.57","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Fiji","Both Sexes","Not Available","Not Available","0.57","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Fiji","Both Sexes","Not Available","Not Available","0.57","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Fiji","Both Sexes","Not Available","Not Available","0.57","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Fiji","Both Sexes","Not Available","Not Available","0.57","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Fiji","Both Sexes","Not Available","Not Available","0.57","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Fiji","Female","Not Available","Not Available","0.24","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Fiji","Female","Not Available","Not Available","0.24","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Fiji","Female","Not Available","Not Available","0.24","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Fiji","Female","Not Available","Not Available","0.24","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Fiji","Female","Not Available","Not Available","0.24","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Fiji","Female","Not Available","Not Available","0.24","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Fiji","Female","Not Available","Not Available","0.24","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Fiji","Female","Not Available","Not Available","0.24","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Fiji","Both Sexes","Not Available","Not Available","0.5","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Fiji","Both Sexes","Not Available","Not Available","0.5","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Fiji","Both Sexes","Not Available","Not Available","0.5","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Fiji","Both Sexes","Not Available","Not Available","0.5","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Fiji","Both Sexes","Not Available","Not Available","0.5","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Fiji","Both Sexes","Not Available","Not Available","0.5","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Fiji","Both Sexes","Not Available","Not Available","0.5","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Fiji","Both Sexes","Not Available","Not Available","0.5","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Fiji","Male","Not Available","Not Available","0.79","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Fiji","Male","Not Available","Not Available","0.79","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Fiji","Male","Not Available","Not Available","0.79","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Fiji","Male","Not Available","Not Available","0.79","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Fiji","Male","Not Available","Not Available","0.79","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Fiji","Male","Not Available","Not Available","0.79","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Fiji","Male","Not Available","Not Available","0.79","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Fiji","Male","Not Available","Not Available","0.79","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Fiji","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Fiji","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Fiji","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Fiji","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Fiji","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Fiji","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Fiji","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Fiji","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Fiji","Male","Not Available","Not Available","0.7","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Fiji","Male","Not Available","Not Available","0.7","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Fiji","Male","Not Available","Not Available","0.7","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Fiji","Male","Not Available","Not Available","0.7","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Fiji","Male","Not Available","Not Available","0.7","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Fiji","Male","Not Available","Not Available","0.7","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Fiji","Male","Not Available","Not Available","0.7","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Fiji","Male","Not Available","Not Available","0.7","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Fiji","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Fiji","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Fiji","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Fiji","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Fiji","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Fiji","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Fiji","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Fiji","Female","Not Available","Not Available","0.19","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Fiji","Both Sexes","Not Available","Not Available","0.45","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Fiji","Both Sexes","Not Available","Not Available","0.45","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Fiji","Both Sexes","Not Available","Not Available","0.45","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Fiji","Both Sexes","Not Available","Not Available","0.45","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Fiji","Both Sexes","Not Available","Not Available","0.45","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Fiji","Both Sexes","Not Available","Not Available","0.45","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Fiji","Both Sexes","Not Available","Not Available","0.45","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Fiji","Both Sexes","Not Available","Not Available","0.45","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Finland","Male","Not Available","Not Available","0.66","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Finland","Male","Not Available","Not Available","0.66","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Finland","Male","Not Available","Not Available","0.66","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Finland","Male","Not Available","Not Available","0.66","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Finland","Male","Not Available","Not Available","0.66","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Finland","Male","Not Available","Not Available","0.66","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Finland","Male","Not Available","Not Available","0.66","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Finland","Male","Not Available","Not Available","0.66","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Finland","Both Sexes","Not Available","Not Available","0.45","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Finland","Both Sexes","Not Available","Not Available","0.45","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Finland","Both Sexes","Not Available","Not Available","0.45","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Finland","Both Sexes","Not Available","Not Available","0.45","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Finland","Both Sexes","Not Available","Not Available","0.45","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Finland","Both Sexes","Not Available","Not Available","0.45","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Finland","Both Sexes","Not Available","Not Available","0.45","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Finland","Both Sexes","Not Available","Not Available","0.45","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Finland","Female","Not Available","Not Available","0.25","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Finland","Female","Not Available","Not Available","0.25","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Finland","Female","Not Available","Not Available","0.25","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Finland","Female","Not Available","Not Available","0.25","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Finland","Female","Not Available","Not Available","0.25","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Finland","Female","Not Available","Not Available","0.25","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Finland","Female","Not Available","Not Available","0.25","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2000","Finland","Female","Not Available","Not Available","0.25","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Finland","Male","Not Available","Not Available","0.49","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Finland","Male","Not Available","Not Available","0.49","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Finland","Male","Not Available","Not Available","0.49","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Finland","Male","Not Available","Not Available","0.49","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Finland","Male","Not Available","Not Available","0.49","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Finland","Male","Not Available","Not Available","0.49","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Finland","Male","Not Available","Not Available","0.49","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Finland","Male","Not Available","Not Available","0.49","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Finland","Female","Not Available","Not Available","0.21","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Finland","Female","Not Available","Not Available","0.21","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Finland","Female","Not Available","Not Available","0.21","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Finland","Female","Not Available","Not Available","0.21","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Finland","Female","Not Available","Not Available","0.21","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Finland","Female","Not Available","Not Available","0.21","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Finland","Female","Not Available","Not Available","0.21","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Finland","Female","Not Available","Not Available","0.21","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Finland","Both Sexes","Not Available","Not Available","0.35","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Finland","Both Sexes","Not Available","Not Available","0.35","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Finland","Both Sexes","Not Available","Not Available","0.35","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Finland","Both Sexes","Not Available","Not Available","0.35","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Finland","Both Sexes","Not Available","Not Available","0.35","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Finland","Both Sexes","Not Available","Not Available","0.35","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Finland","Both Sexes","Not Available","Not Available","0.35","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Finland","Both Sexes","Not Available","Not Available","0.35","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Finland","Male","Not Available","Not Available","0.38","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Finland","Male","Not Available","Not Available","0.38","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Finland","Male","Not Available","Not Available","0.38","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Finland","Male","Not Available","Not Available","0.38","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Finland","Male","Not Available","Not Available","0.38","Rate (per 100,000 population)","Global Health Observatory",""
